image_path,classes
data\dataset_2_split\train\images\0-630-ls-14-g02_29640_30780.jpg,0
data\dataset_2_split\train\images\0-640-ls-14-d01_0_1140.jpg,1
data\dataset_2_split\train\images\0-640-ls-14-d01_11400_12540.jpg,0
data\dataset_2_split\train\images\0-640-ls-14-d01_18240_19380.jpg,6
data\dataset_2_split\train\images\0-640-ls-14-d01_19380_20520.jpg,1
data\dataset_2_split\train\images\0-640-ls-14-d01_20520_21660.jpg,1
data\dataset_2_split\train\images\0-640-ls-14-d01_2280_3420.jpg,6
data\dataset_2_split\train\images\0-640-ls-14-d01_25080_26220.jpg,0
data\dataset_2_split\train\images\0-640-ls-14-d01_26220_27360.jpg,6
data\dataset_2_split\train\images\0-640-ls-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\0-640-ls-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\0-640-ls-14-d01_4560_5700.jpg,
data\dataset_2_split\train\images\0-640-ls-14-d01_5700_6840.jpg,1
data\dataset_2_split\train\images\0-640-ls-14-d01_6840_7980.jpg,0
data\dataset_2_split\train\images\0-640-ls-14-d01_7980_9120.jpg,1
data\dataset_2_split\train\images\0-660-ls-14-d01_10260_11400.jpg,"1,7"
data\dataset_2_split\train\images\0-660-ls-14-d01_11400_12540.jpg,1
data\dataset_2_split\train\images\0-660-ls-14-d01_1140_2280.jpg,6
data\dataset_2_split\train\images\0-660-ls-14-d01_19380_20520.jpg,7
data\dataset_2_split\train\images\0-660-ls-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\0-660-ls-14-d01_6840_7980.jpg,0
data\dataset_2_split\train\images\0-670-ls-14-g02_0_1140.jpg,
data\dataset_2_split\train\images\0-670-ls-14-g02_10260_11400.jpg,0
data\dataset_2_split\train\images\0-670-ls-14-g02_12540_13680.jpg,1
data\dataset_2_split\train\images\0-670-ls-14-g02_15960_17100.jpg,
data\dataset_2_split\train\images\0-670-ls-14-g02_27360_28500.jpg,7
data\dataset_2_split\train\images\0-670-ls-14-g02_28500_29640.jpg,1
data\dataset_2_split\train\images\0-670-ls-14-g02_29640_30780.jpg,0
data\dataset_2_split\train\images\0-691-ls-14-d03_0_1140.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_11400_12540.jpg,7
data\dataset_2_split\train\images\0-691-ls-14-d03_1140_2280.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_13680_14820.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_17100_18240.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_18240_19380.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_20520_21660.jpg,0
data\dataset_2_split\train\images\0-691-ls-14-d03_2280_3420.jpg,6
data\dataset_2_split\train\images\0-691-ls-14-d03_25080_26220.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_27360_28500.jpg,7
data\dataset_2_split\train\images\0-691-ls-14-d03_30780_31920.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_3420_4560.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_4560_5700.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_6840_7980.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_7980_9120.jpg,
data\dataset_2_split\train\images\0-691-ls-14-d03_9120_10260.jpg,0
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_0_1140.jpg",
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_1140_2280.jpg",6
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_18240_19380.jpg",6
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_21660_22800.jpg",
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_2280_3420.jpg",
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_25080_26220.jpg",
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_26220_27360.jpg",6
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_27360_28500.jpg",11
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_28500_29640.jpg",11
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_3420_4560.jpg",
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_4560_5700.jpg",
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_7980_9120.jpg",0
"data\dataset_2_split\train\images\0-700,1-ls-14-d03_9120_10260.jpg",6
data\dataset_2_split\train\images\0-760-ls-r3-31he_12540_13680.jpg,1
data\dataset_2_split\train\images\0-760-ls-r3-31he_13680_14820.jpg,
data\dataset_2_split\train\images\0-760-ls-r3-31he_15960_17100.jpg,0
data\dataset_2_split\train\images\0-760-ls-r3-31he_17100_18240.jpg,
data\dataset_2_split\train\images\0-760-ls-r3-31he_19380_20520.jpg,7
data\dataset_2_split\train\images\0-760-ls-r3-31he_27360_28500.jpg,6
data\dataset_2_split\train\images\0-760-ls-r3-31he_28500_29640.jpg,
data\dataset_2_split\train\images\0-760-ls-r3-31he_4560_5700.jpg,
data\dataset_2_split\train\images\0-760-ls-r3-31he_6840_7980.jpg,
data\dataset_2_split\train\images\0-760-ls-r3-31he_7980_9120.jpg,0
data\dataset_2_split\train\images\01-356_11400_12540.jpg,
data\dataset_2_split\train\images\01-356_12540_13680.jpg,
data\dataset_2_split\train\images\01-356_13680_14820.jpg,
data\dataset_2_split\train\images\01-356_15960_17100.jpg,
data\dataset_2_split\train\images\01-356_17100_18240.jpg,
data\dataset_2_split\train\images\01-356_20520_21660.jpg,
data\dataset_2_split\train\images\01-356_21660_22800.jpg,
data\dataset_2_split\train\images\01-356_22800_23940.jpg,6
data\dataset_2_split\train\images\01-356_2280_3420.jpg,7
data\dataset_2_split\train\images\01-356_28500_29640.jpg,
data\dataset_2_split\train\images\01-356_29640_30780.jpg,
data\dataset_2_split\train\images\01-356_30780_31920.jpg,
data\dataset_2_split\train\images\01-356_5700_6840.jpg,6
data\dataset_2_split\train\images\01-356_7980_9120.jpg,6
data\dataset_2_split\train\images\01-357_0_1140.jpg,
data\dataset_2_split\train\images\01-357_13680_14820.jpg,
data\dataset_2_split\train\images\01-357_14820_15960.jpg,
data\dataset_2_split\train\images\01-357_18240_19380.jpg,0
data\dataset_2_split\train\images\01-357_21660_22800.jpg,
data\dataset_2_split\train\images\01-357_22800_23940.jpg,
data\dataset_2_split\train\images\01-357_25080_26220.jpg,
data\dataset_2_split\train\images\01-357_26220_27360.jpg,
data\dataset_2_split\train\images\01-357_27360_28500.jpg,
data\dataset_2_split\train\images\01-357_28500_29640.jpg,
data\dataset_2_split\train\images\01-357_29640_30780.jpg,
data\dataset_2_split\train\images\01-358_1140_2280.jpg,6
data\dataset_2_split\train\images\01-358_14820_15960.jpg,
data\dataset_2_split\train\images\01-358_21660_22800.jpg,
data\dataset_2_split\train\images\01-358_22800_23940.jpg,
data\dataset_2_split\train\images\01-358_23940_25080.jpg,6
data\dataset_2_split\train\images\01-358_25080_26220.jpg,
data\dataset_2_split\train\images\01-358_26220_27360.jpg,
data\dataset_2_split\train\images\01-358_28500_29640.jpg,
data\dataset_2_split\train\images\01-358_29640_30780.jpg,
data\dataset_2_split\train\images\01-358_30780_31920.jpg,
data\dataset_2_split\train\images\01-358_6840_7980.jpg,
data\dataset_2_split\train\images\01-359_10260_11400.jpg,7
data\dataset_2_split\train\images\01-359_13680_14820.jpg,
data\dataset_2_split\train\images\01-359_14820_15960.jpg,
data\dataset_2_split\train\images\01-359_15960_17100.jpg,6
data\dataset_2_split\train\images\01-359_19380_20520.jpg,
data\dataset_2_split\train\images\01-359_20520_21660.jpg,
data\dataset_2_split\train\images\01-359_21660_22800.jpg,
data\dataset_2_split\train\images\01-359_22800_23940.jpg,
data\dataset_2_split\train\images\01-359_23940_25080.jpg,
data\dataset_2_split\train\images\01-359_25080_26220.jpg,
data\dataset_2_split\train\images\01-359_28500_29640.jpg,
data\dataset_2_split\train\images\01-359_29640_30780.jpg,
data\dataset_2_split\train\images\01-359_30780_31920.jpg,
data\dataset_2_split\train\images\01-359_5700_6840.jpg,
data\dataset_2_split\train\images\01-360_11400_12540.jpg,
data\dataset_2_split\train\images\01-360_12540_13680.jpg,
data\dataset_2_split\train\images\01-360_13680_14820.jpg,
data\dataset_2_split\train\images\01-360_15960_17100.jpg,
data\dataset_2_split\train\images\01-360_20520_21660.jpg,
data\dataset_2_split\train\images\01-360_21660_22800.jpg,
data\dataset_2_split\train\images\01-360_2280_3420.jpg,7
data\dataset_2_split\train\images\01-360_28500_29640.jpg,
data\dataset_2_split\train\images\01-360_6840_7980.jpg,
data\dataset_2_split\train\images\01-361_11400_12540.jpg,
data\dataset_2_split\train\images\01-361_13680_14820.jpg,
data\dataset_2_split\train\images\01-361_14820_15960.jpg,
data\dataset_2_split\train\images\01-361_26220_27360.jpg,7
data\dataset_2_split\train\images\01-361_29640_30780.jpg,
data\dataset_2_split\train\images\01-361_7980_9120.jpg,6
data\dataset_2_split\train\images\1-130-ls-14-d-01_0_1140.jpg,
data\dataset_2_split\train\images\1-130-ls-14-d-01_1140_2280.jpg,6
data\dataset_2_split\train\images\1-130-ls-14-d-01_14820_15960.jpg,
data\dataset_2_split\train\images\1-130-ls-14-d-01_15960_17100.jpg,11
data\dataset_2_split\train\images\1-130-ls-14-d-01_26220_27360.jpg,0
data\dataset_2_split\train\images\1-130-ls-14-d-01_28500_29640.jpg,
data\dataset_2_split\train\images\1-130-ls-14-d-01_29640_30780.jpg,
data\dataset_2_split\train\images\1-130-ls-14-d-01_6840_7980.jpg,0
data\dataset_2_split\train\images\1-130-ls-14-d-01_9120_10260.jpg,6
data\dataset_2_split\train\images\1-140-ls-14-d-01_14820_15960.jpg,
data\dataset_2_split\train\images\1-140-ls-14-d-01_15960_17100.jpg,1
data\dataset_2_split\train\images\1-140-ls-14-d-01_19380_20520.jpg,0
data\dataset_2_split\train\images\1-140-ls-14-d-01_26220_27360.jpg,0
data\dataset_2_split\train\images\1-140-ls-14-d-01_27360_28500.jpg,6
data\dataset_2_split\train\images\1-140-ls-14-d-01_30780_31920.jpg,1
data\dataset_2_split\train\images\1-140-ls-14-d-01_3420_4560.jpg,
data\dataset_2_split\train\images\1-140-ls-14-d-01_4560_5700.jpg,
data\dataset_2_split\train\images\1-140-ls-14-d-01_5700_6840.jpg,
data\dataset_2_split\train\images\1-140-ls-14-d-01_7980_9120.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_0_1140.jpg,1
data\dataset_2_split\train\images\1-150-ls-14-d-01_11400_12540.jpg,7
data\dataset_2_split\train\images\1-150-ls-14-d-01_13680_14820.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_17100_18240.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_19380_20520.jpg,6
data\dataset_2_split\train\images\1-150-ls-14-d-01_2280_3420.jpg,6
data\dataset_2_split\train\images\1-150-ls-14-d-01_23940_25080.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_25080_26220.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_27360_28500.jpg,7
data\dataset_2_split\train\images\1-150-ls-14-d-01_28500_29640.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_30780_31920.jpg,
data\dataset_2_split\train\images\1-150-ls-14-d-01_3420_4560.jpg,0
data\dataset_2_split\train\images\1-190-ls-14-d-01_0_1140.jpg,
data\dataset_2_split\train\images\1-190-ls-14-d-01_10260_11400.jpg,7
data\dataset_2_split\train\images\1-190-ls-14-d-01_12540_13680.jpg,
data\dataset_2_split\train\images\1-190-ls-14-d-01_2280_3420.jpg,
data\dataset_2_split\train\images\1-190-ls-14-d-01_27360_28500.jpg,7
data\dataset_2_split\train\images\1-190-ls-14-d-01_29640_30780.jpg,
data\dataset_2_split\train\images\1-190-ls-14-d-01_30780_31920.jpg,
data\dataset_2_split\train\images\1-190-ls-14-d-01_3420_4560.jpg,7
data\dataset_2_split\train\images\1-190-ls-14-d-01_5700_6840.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_12540_13680.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_13680_14820.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_14820_15960.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_15960_17100.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_22800_23940.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_2280_3420.jpg,1
data\dataset_2_split\train\images\1-270-ls-14-d-01_23940_25080.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_25080_26220.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_26220_27360.jpg,6
data\dataset_2_split\train\images\1-270-ls-14-d-01_29640_30780.jpg,
data\dataset_2_split\train\images\1-270-ls-14-d-01_3420_4560.jpg,7
data\dataset_2_split\train\images\1-270-ls-14-d-01_4560_5700.jpg,0
data\dataset_2_split\train\images\1-270-ls-14-d-01_9120_10260.jpg,0
data\dataset_2_split\train\images\1-300-ls-14-g03_10260_11400.jpg,"1,7"
data\dataset_2_split\train\images\1-300-ls-14-g03_11400_12540.jpg,
data\dataset_2_split\train\images\1-300-ls-14-g03_1140_2280.jpg,1
data\dataset_2_split\train\images\1-300-ls-14-g03_12540_13680.jpg,
data\dataset_2_split\train\images\1-300-ls-14-g03_13680_14820.jpg,1
data\dataset_2_split\train\images\1-300-ls-14-g03_17100_18240.jpg,0
data\dataset_2_split\train\images\1-300-ls-14-g03_23940_25080.jpg,1
data\dataset_2_split\train\images\1-300-ls-14-g03_25080_26220.jpg,
data\dataset_2_split\train\images\1-300-ls-14-g03_27360_28500.jpg,7
data\dataset_2_split\train\images\1-300-ls-14-g03_29640_30780.jpg,
data\dataset_2_split\train\images\1-300-ls-14-g03_4560_5700.jpg,
data\dataset_2_split\train\images\1-300-ls-14-g03_7980_9120.jpg,1
data\dataset_2_split\train\images\1-300-ls-14-g03_9120_10260.jpg,0
data\dataset_2_split\train\images\1-310-ls-14-g03_0_1140.jpg,
data\dataset_2_split\train\images\1-310-ls-14-g03_12540_13680.jpg,
data\dataset_2_split\train\images\1-310-ls-14-g03_18240_19380.jpg,0
data\dataset_2_split\train\images\1-310-ls-14-g03_21660_22800.jpg,
data\dataset_2_split\train\images\1-310-ls-14-g03_22800_23940.jpg,"1,11"
data\dataset_2_split\train\images\1-310-ls-14-g03_23940_25080.jpg,
data\dataset_2_split\train\images\1-310-ls-14-g03_29640_30780.jpg,11
data\dataset_2_split\train\images\1-310-ls-14-g03_4560_5700.jpg,0
data\dataset_2_split\train\images\1-310-ls-14-g03_5700_6840.jpg,1
data\dataset_2_split\train\images\10-040-ls-34-b-01_0_1140.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_15960_17100.jpg,1
data\dataset_2_split\train\images\10-040-ls-34-b-01_17100_18240.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_21660_22800.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_23940_25080.jpg,1
data\dataset_2_split\train\images\10-040-ls-34-b-01_28500_29640.jpg,7
data\dataset_2_split\train\images\10-040-ls-34-b-01_30780_31920.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_3420_4560.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_5700_6840.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_6840_7980.jpg,
data\dataset_2_split\train\images\10-040-ls-34-b-01_7980_9120.jpg,2
data\dataset_2_split\train\images\10-050-ls-34-b-01_0_1140.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_10260_11400.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_1140_2280.jpg,6
data\dataset_2_split\train\images\10-050-ls-34-b-01_12540_13680.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_14820_15960.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_15960_17100.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_21660_22800.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_22800_23940.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_2280_3420.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_26220_27360.jpg,6
data\dataset_2_split\train\images\10-050-ls-34-b-01_27360_28500.jpg,1
data\dataset_2_split\train\images\10-050-ls-34-b-01_29640_30780.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_30780_31920.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_3420_4560.jpg,7
data\dataset_2_split\train\images\10-050-ls-34-b-01_4560_5700.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_6840_7980.jpg,
data\dataset_2_split\train\images\10-050-ls-34-b-01_7980_9120.jpg,1
data\dataset_2_split\train\images\10-050-ls-34-b-01_9120_10260.jpg,0
data\dataset_2_split\train\images\10-056-ls-34-b-01_10260_11400.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_1140_2280.jpg,6
data\dataset_2_split\train\images\10-056-ls-34-b-01_12540_13680.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_13680_14820.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_14820_15960.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_17100_18240.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_19380_20520.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_2280_3420.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_23940_25080.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_29640_30780.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_30780_31920.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_3420_4560.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_4560_5700.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_5700_6840.jpg,
data\dataset_2_split\train\images\10-056-ls-34-b-01_6840_7980.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_0_1140.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_10260_11400.jpg,7
data\dataset_2_split\train\images\10-057-ls-34-b-01_1140_2280.jpg,6
data\dataset_2_split\train\images\10-057-ls-34-b-01_15960_17100.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_20520_21660.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_2280_3420.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_23940_25080.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_26220_27360.jpg,6
data\dataset_2_split\train\images\10-057-ls-34-b-01_27360_28500.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_29640_30780.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_30780_31920.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_3420_4560.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_4560_5700.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_5700_6840.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_6840_7980.jpg,
data\dataset_2_split\train\images\10-057-ls-34-b-01_7980_9120.jpg,0
data\dataset_2_split\train\images\10-057-ls-34-b-01_9120_10260.jpg,6
data\dataset_2_split\train\images\10-058-ls-34-b-01_10260_11400.jpg,6
data\dataset_2_split\train\images\10-058-ls-34-b-01_11400_12540.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_12540_13680.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_13680_14820.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_14820_15960.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_18240_19380.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_22800_23940.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_2280_3420.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_25080_26220.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_26220_27360.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_27360_28500.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_28500_29640.jpg,7
data\dataset_2_split\train\images\10-058-ls-34-b-01_29640_30780.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_30780_31920.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_4560_5700.jpg,
data\dataset_2_split\train\images\10-058-ls-34-b-01_5700_6840.jpg,
